Country Name,Country Code,Series Name,Series Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,179.4264945,190.6840088,211.3819695,242.0313792,263.7337347,359.69348,364.6604654,438.0760344,543.3030419,591.1623465,641.8720338,637.1650439,613.8563329,578.4663529
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1126.683318,1281.659393,1425.124849,1846.118813,2373.579844,2673.787283,2972.743265,3595.037163,4370.540087,4114.14015,4094.362119,4437.178067,4247.614279,4413.081743,4578.66672,3952.829458
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,1764.888222,1740.560069,1781.758571,2103.453105,2609.945608,3113.101094,3478.818543,3950.561607,4923.540099,3883.378143,4480.724539,5455.741338,5592.326098,5499.581487,5493.02559,4177.867517
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,8700.067705,8856.547459,8578.944723,8444.9817,8391.561067,8909.449156,9792.666806,11961.25823,10271.22452,10294.30227,11568.793,11505.39371,11507.23235,11843.33118
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,21936.5301,22228.84649,24741.49357,32776.44227,38503.47961,41282.02012,43747.69185,48582.22088,47785.08927,43338.86676,39736.35406,41100.72994,38392.9439,40626.75163,42300.33413,36039.6535
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,556.8363181,527.3335285,872.4944916,982.9608993,1255.564045,1902.422346,2599.566464,3121.995637,4080.94141,3122.780766,3587.883798,4615.468028,5100.095808,5254.882338,5408.410496,4166.979684
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,10920.84269,10370.67113,10404.43621,10789.95096,11446.63847,12547.61304,13989.71567,15607.08987,16024.34555,14113.07726,13049.25705,12746.20502,13272.44133,12909.74418,13501.58092,14286.09316
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,7708.100996,7208.371567,2593.40415,3349.806124,4277.721351,5109.851325,5919.012037,7245.448317,9020.873098,8225.137176,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,622.7421391,694.4232277,783.2406986,930.1273219,1191.91902,1643.753029,2158.143697,3139.277499,4010.857243,2994.342544,3218.372707,3525.804747,3681.857456,3838.185801,3986.231624,3607.296697
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,20620.70063,20669.03197,20436.88713,20833.76161,22569.97499,23300.03956,24045.27248,25835.13267,27084.70369,24630.45371,23512.6026,24985.99328,24713.69805,25025.09956,25533.56978,25796.38025
